Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1156.txt` opened OK.
CSV File `./LogFiles/Log20200210_1156.csv` opened OK.
20200210_115630,1.547244,Information,3,1,1,0,In MC Loop, Realsense, Idx=56, Coord=[17.361145, 9.849304, 19.000002], FinalFingerPos=[-26.000002, 22.441145, -8.349304], Midi=[None]
20200210_115630,1.547263,Information,3,1,1,0,In MC Loop, Realsense, Idx=57, Coord=[17.357107, 9.797466, 18.900002], FinalFingerPos=[-25.900002, 22.437107, -8.297466], Midi=[None]
20200210_115630,1.547283,Information,3,1,1,0,In MC Loop, Realsense, Idx=58, Coord=[17.444447, 9.797466, 18.900002], FinalFingerPos=[-25.900002, 22.524447, -8.297466], Midi=[None]
20200210_115630,1.547302,Information,3,1,1,0,In MC Loop, Realsense, Idx=59, Coord=[17.531784, 9.797466, 18.900002], FinalFingerPos=[-25.900002, 22.611784, -8.297466], Midi=[None]
20200210_115630,1.547321,Information,3,1,1,0,In MC Loop, Realsense, Idx=60, Coord=[17.619123, 9.797466, 18.900002], FinalFingerPos=[-25.900002, 22.699123, -8.297466], Midi=[None]
20200210_115630,1.547367,DEBUG!,3,1,1,0,======================
20200210_115630,1.547395,Information,3,1,1,0,At begining of Master Control's loop
20200210_115630,1.549963,DEBUG!,3,1,1,0,======================
20200210_115630,1.550004,DEBUG!,3,1,1,0,Keyboard Resetting keys played
20200210_115630,1.550019,DEBUG!,3,1,1,0,In Realsense GetPointCloud
20200210_115630,1.550030,DEBUG!,3,1,1,0,Never leaving Realsense GetPointCloud
20200210_115630,1.610128,Information,3,1,1,0,In MC Loop, Realsense, Idx=0, Coord=[6.780463, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 11.860463, -14.138871], Midi=[None]
20200210_115630,1.610165,Information,3,1,1,0,In MC Loop, Realsense, Idx=1, Coord=[7.257235, 15.686551, 32.900002], FinalFingerPos=[-39.900002, 12.337235, -14.186551], Midi=[None]
